Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00157	9	6569604	146485	137292	0.02229738657002766	0.020898063262260555	0.9476000586815326	0.9044259274767608	0.9829401853411963	0.9572000161661884	0.9881510625157262	0.8176530361960825
HG00158	9	6569499	129276	121410	0.01967821290481968	0.018480861325954993	0.9474083515416363	0.9111622172696666	0.9809380013211286	0.9584612550657006	0.9863460205836306	0.8260161309547459
HG00159	9	6569568	135107	126705	0.020565583612194897	0.019286656291555244	0.9482502345046541	0.9047084688315852	0.9827959902465456	0.9578990334854294	0.9887125838422265	0.8196505234616254
HG00231	9	6569584	129550	121398	0.019719665659195466	0.01847879561323822	0.9467019580714049	0.905673520368947	0.9807225541448843	0.9570651017119226	0.98515925064667	0.8238638591538251
HG00232	9	6569418	134137	123141	0.020418399316347355	0.01874458285345825	0.928557219585666	0.8896054082562209	0.9500567022000453	0.9538057359702254	0.9379012283273518	0.803807184525637
HG00233	9	6569511	117393	110054	0.0178693665327602	0.01675223620144635	0.9468815627187573	0.9068820627919723	0.9810776810986477	0.9583663692032591	0.9857313060251901	0.818694777359811
HG00234	9	6569501	122770	114588	0.01868787294499232	0.01744242066482675	0.9458829868154158	0.8958416934189406	0.9812064261897545	0.9545658084119623	0.9863312531065334	0.8083742612170149
HG00237	9	6569657	115075	107976	0.01751613516504743	0.016435561247718108	0.949017084610305	0.9057100230571002	0.9791133622265156	0.9577580314422419	0.9880448613618205	0.8237852561286354
HG00238	9	6569642	135413	126789	0.020611929843361326	0.019299225132815456	0.9463268191025809	0.9051751341117071	0.9811396468699839	0.956178584049947	0.9873140749846343	0.8202862894207112
HG00239	9	6569643	130887	123029	0.01992300038221255	0.01872689277027686	0.9478517546736634	0.9094497782543008	0.9837512625708138	0.9599009602029108	0.9888456137561932	0.8325033447301917
HG00242	9	6569588	132182	123943	0.020120287604032398	0.01886617547401755	0.9479596581991513	0.9057528409090909	0.9799810695693327	0.9573927848064109	0.987991942981097	0.817682830516506
HG00243	9	6569666	124026	115774	0.0188785853040322	0.017622509272160868	0.9471183155393682	0.8944455475032265	0.9817822984666768	0.9524932402691316	0.9900824175824176	0.8079037228283501
HG00244	9	6569587	79722	75003	0.012135009400134286	0.011416699405913949	0.9494136863404764	0.9122095743021986	0.9810742471841238	0.9597791798107256	0.9897221164826798	0.8259046636134941
HG00245	9	6569485	137820	129263	0.020978813407748095	0.01967627599423699	0.9473773697186092	0.9063653551814171	0.9816779170684667	0.9573609003178604	0.9881475301219602	0.8225658353839939
HG00246	9	6569590	140580	131810	0.021398595650565712	0.02006365694053967	0.9433461843436415	0.9126159222257068	0.9795981045981046	0.9602014973142968	0.9832271454773627	0.8183784180045451
HG00255	9	6569658	110990	103849	0.016894334530047073	0.015807367750345604	0.9465214422049836	0.9001967549687758	0.980440097799511	0.9573680481756996	0.9868704867298134	0.8183310412137882
HG00262	9	6569560	132730	124088	0.02020378838156589	0.018888327376567076	0.9493988637864975	0.8948030468913788	0.9804889298892989	0.9535140873103631	0.9884462971540322	0.8162896970162437
HG00263	9	6569533	163585	153662	0.024900552291920904	0.023390094851490965	0.9464827488887321	0.9120453362632279	0.9806509674516274	0.9596523232106449	0.9858116132258267	0.8245420436989627
HG00264	9	6569512	104163	97344	0.015855515599941063	0.01481753895875371	0.9500484243462713	0.8899895569148143	0.9830738381693795	0.9521054203374645	0.9899439115860741	0.8148709425107548
HG00265	9	6569573	177389	166756	0.027001602691681788	0.025383080452869616	0.9482600532681308	0.9106969555371841	0.9806869089099054	0.9604316149075189	0.9871043147949742	0.8300704996769935
HG01789	9	6569556	167708	157167	0.025528056995023713	0.023923534558499843	0.9491052753892633	0.9013032627784453	0.9811635756541938	0.9556681369853397	0.9882639100030405	0.8216022368101142
HG01790	9	6569536	118861	111282	0.01809275419146801	0.01693909585090941	0.9479643578004234	0.8996741821973152	0.9830751137700057	0.9569308242777631	0.9884306987399771	0.815594111907691
HG01791	9	6569523	148855	140140	0.022658418274812343	0.02133183794318096	0.9501173324243894	0.9110524551701022	0.9834138486312399	0.9592598475222364	0.9890609720042756	0.8328105822991955
HG02215	9	6569448	137602	129275	0.02094574764881311	0.01967821345111492	0.9467950520101209	0.9092577961611749	0.9821581014171077	0.9597053417494265	0.9869346987161702	0.8285323347256229
